n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
600,10,0.001,0.8,1.0,0.7771375309728505,27.946046352386475
600,4,0.001,0.8,1.0,0.7771006904550959,12.504283905029297
100,4,0.001,0.8,0.8,0.7766552454837032,7.667728662490845
1000,6,0.001,1.0,1.0,0.7736855275517666,31.431156635284424
100,6,0.01,1.0,1.0,0.7720559612228886,4.796438932418823
1000,8,0.001,1.0,1.0,0.772017761812614,42.58987879753113
1000,10,0.001,1.0,1.0,0.7717048138325975,48.379432916641235
100,10,0.001,1.0,0.8,0.7714036674476435,5.268615245819092
800,4,0.001,1.0,1.0,0.7713104338864334,16.646775007247925
100,6,0.001,1.0,0.8,0.7712796491984792,4.526266574859619
100,8,0.001,1.0,0.8,0.7712209635223474,5.459895133972168
100,8,0.01,1.0,1.0,0.7706411238052138,5.078699827194214
100,10,0.01,1.0,1.0,0.7696457734950917,5.545146942138672
100,4,0.001,1.0,0.8,0.7694168029208989,3.3123509883880615
300,6,0.001,0.8,1.0,0.7693356812679145,9.59880805015564
300,8,0.001,0.8,1.0,0.7692288222754563,11.670210599899292
300,10,0.001,0.8,1.0,0.7690690442451643,14.064204931259155
600,4,0.001,1.0,1.0,0.7687356605346276,12.844171047210693
300,4,0.001,0.8,1.0,0.7678989512132027,7.308162212371826
800,6,0.001,1.0,1.0,0.7672041372272855,25.902004957199097
800,8,0.001,1.0,1.0,0.7661685846068086,36.33843970298767
800,10,0.001,1.0,1.0,0.7656928479907211,46.42344379425049
100,6,0.001,0.8,1.0,0.7652258009773386,4.700695037841797
100,8,0.001,0.8,1.0,0.7652028661008209,6.13021993637085
100,10,0.001,0.8,1.0,0.7649823567724416,5.224565029144287
600,6,0.001,1.0,1.0,0.7639851051276868,19.07424831390381
100,4,0.001,0.8,1.0,0.7629564257921857,3.502751588821411
600,8,0.001,1.0,1.0,0.7624095633495105,27.241105794906616
600,10,0.001,1.0,1.0,0.7607462878825724,34.2372772693634
300,4,0.001,1.0,1.0,0.7556608754850258,7.138176441192627
300,6,0.001,1.0,1.0,0.7534046575935861,10.462358236312866
300,8,0.001,1.0,1.0,0.7531619372978837,12.958991050720215
300,10,0.001,1.0,1.0,0.7531374019093651,16.154561758041382
100,4,0.001,1.0,1.0,0.7443428708487171,3.86318039894104
100,8,0.001,1.0,1.0,0.7439116903145767,4.93111515045166
100,6,0.001,1.0,1.0,0.7438176543769228,5.4350502490997314
100,10,0.001,1.0,1.0,0.7433796292090842,6.189326286315918
